	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
Psa 51-100	1034	1062	1015	1060	1015	1062	1061	1015	1063	1040	1015	1015	1061	1015	1015	1015	1015	1015	1015	1015	1015	1014	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1015	1042	1015	1015	1015	1451	1015	1015	1015	1015	1015	1042	1015	1015	1015	1015																
	1034	1017	970	1015	970	1017	1016	970	1018	995	970	970	1016	970	970	970	970	970	970	970	970	969	970	970	970	970	970	970	970	970	970	970	970	970	970	997	970	970	970	1406	970	970	970	970	970	997	970	970	970	970																
Psa 101-150	1042	588	1015	1015	1042	1042	457	1040	1015	1042	1015	1015	1015	1015	1015	1015	1015	1015	457	445	445	1015	445	1015	445	445	1005	445	445	445	1015	445	1015	445	1015	1015	588	1015	1015	1015	1015	1058	1015	1015	1015	445	445	445	445	445																
	997	586	970	970	997	997	457	995	970	997	970	970	970	970	970	970	970	970	457	445	445	970	445	970	445	445	960	445	445	445	970	445	970	445	970	970	570	970	970	970	970	1013	970	970	970	445	445	445	445	445																
Pro	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975	975																																			
	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930	930																																			
Ecc.	975	975	975	975	975	975	975	975	975	975	975	975																																																						
	930	930	930	930	930	930	930	930	930	930	930	930																																																						
Sng	975	975	975	975	975	975	975	975																																																										
	930	930	930	930	930	930	930	930																																																										
Isa	760	760	760	760	760	758	742	742	740	713	713	713	712	712	726	726	741	714	714	714	714	712	715	712	712	712	712	725	712	713	713	713	713	713	713	713	710	713	712	712	712	712	712	712	712	712	712	712	712	712	712	712	712	712	712	712	698	698	698	698	698	698	698	698	698	698
	741	741	741	741	741	738	732	732	730	701	701	701	700	700	715	715	731	702	702	702	702	700	703	700	700	700	700	716	700	701	701	701	701	701	701	701	698	701	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	700	687	687	687	687	687	687	687	687	687	687
Jer	629	629	629	612	612	612	600	600	600	600	608	608	602	601	601	601	601	605	605	605	589	609	599	598	607	610	598	596	599	606	606	590	590	591	607	607	599	589	590	588	588	588	588	587	607	607	600	600	600	595	595	599														
	629	629	629	612	612	612	600	600	600	600	608	608	602	601	601	601	601	605	605	605	589	609	599	598	607	610	598	596	599	606	606	590	590	591	607	607	599	589	590	588	588	588	588	587	607	607	600	600	600	595	595	599														
Lam	588	588	588	588	588																																																													
	586	586	586	586	586																																																													
Ezk	595	595	595	595	595	594	594	594	594	594	595	595	595	595	595	594	594	594	594	593	593	593	593	590	590	588	588	588	589	572	588	587	587	587	587	587	587	587	587	574	574	574	574	547	547	547	547	547																		
	595	595	595	595	595	594	594	594	594	594	595	595	595	595	595	594	594	594	594	593	593	593	593	590	590	586	586	586	587	572	586	585	585	585	585	585	585	585	585	574	574	574	574	574	574	574	574	574																		
Dan	607	603	590	570	538	537	555	553	538	534	534	534																																																						
	607	603	590	570	538	537	555	553	538	534	534	534																																																						
Hos	785	785	785	780	780	780	780	760	760	740	740	725	725	725																																																				
	762	762	762	760	760	760	760	740	740	730	730	720	720	720																																																				
Jol	800	800	800																																																															
	790	790	790																																																															
Amo	787	787	787	787	787	787	787	787	787																																																									
	780	780	780	780	780	780	780	780	780																																																									
Oba	587																																																																	
	585																																																																	
Jon	862	862	862	862																																																														
	790	790	790	790																																																														
Mic	750	730	710	710	710	710	710																																																											
	733	730	698	698	698	698	698																																																											
Nam	713	713	713																																																															
	701	701	701																																																															
Hab	626	626	626																																																															
	625	625	625																																																															
Zep	630	630	630																																																															
	630	630	630																																																															
Hag	520	520																																																																
	520	520																																																																
Zec	520	519	519	519	519	519	518	518	487	487	487	487	487	487																																																				
	520	519	519	519	519	519	518	518	487	487	487	487	487	487																																																				
Mal	397	397	397	397																																																														
	397	397	397	397																																																														
Mat	6BC	4BC	26	27	31	31	31	31	31	31	31	31	31	32	32	32	32	32	33	33	33	33	33	33	33	33	33	33																																						
	7BC	5BC	26	27	28	28	28	28	28	28	28	28	28	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30																																						
Mrk	26	31	31	31	31	31	32	32	32	33	33	33	33	33	33	33																																																		
	26	27	27	28	28	29	29	29	29	30	30	30	30	30	30	30																																																		
Luk	6BC	4BC	26	27	31	31	31	31	31	32	33	33	33	33	33	33	33	33	33	33	33	33	33	33																																										
