#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! ISO language codes (2-char and 3-char).  From https://www.loc.gov/standards/iso639-2/php/code_list.php,
#! augmented by entries from the Ethnologue.  See also
#! https://en.wikipedia.org/wiki/List_of_ISO_639_language_codes and the places
#! it points to.
#!
#! Format is:
#!
#!   3-char code | 2-char code where available | language name | comma-separated list of countries where language is used.
#!
#! where ' | ' represents a tab.
#!
#!
#!
#! Manual changes
#! ==============
#!
#! The 3-char code for Bengali (ben) does have a 2-char equivalent (bn).
#! However, I have removed the 2-char code below, because if we use it, texts
#! are recorded as Bangala rather than Bengali.  In fact, Bangala is a
#! recognised alternative to Bengali, but we have decided we want the texts
#! displayed as Bengali.
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

agq		Aghem	Cameroon
agr		Awajún	Peru
ags		Esimbi	Cameroon
agt		Central Cagayan Agta	Philippines
agu		Awakateko	Guatemala
agv		Remontado Dumagat	Philippines
agw		Kahua	Solomon Islands
agx		Aghul	Russian Federation
agy		Southern Alta	Philippines
agz		Mt. Iriga Agta	Philippines
aha		Ahanta	Ghana
ahb		Axamb	Vanuatu
ahg		Qimant	Ethiopia
ahh		Aghu	Indonesia
ahi		Tiagbamrin Aizi	Côte d’Ivoire
ahk		Akha	China, Laos, Myanmar, Thailand
ahl		Igo	Togo
ahm		Mobumrin Aizi	Côte d’Ivoire
ahn		Àhàn	Nigeria
aho		Ahom	India
ahp		Aproumu Aizi	Côte d’Ivoire
ahr		Ahirani	India
ahs		Ashe	Nigeria
aht		Ahtena	United States
aia		Arosi	Solomon Islands
aib		Ainu	China
aic		Ainbai	Papua New Guinea
aid		Alngith	Australia
aie		Amara	Papua New Guinea
aif		Agi	Papua New Guinea
aig		Leeward Caribbean English Creole	Antigua and Barbuda, Anguilla, Saint Kitts and Nevis, Saint Martin, Montserrat
aih		Ai-Cham	China
aii		Assyrian Neo-Aramaic	Iraq
aij		Inter-Zab Jewish Neo-Aramaic	Israel
aik		Akye	Nigeria
ail		Eibela	Papua New Guinea
aim		Aimol	India
ain		Ainu	Japan
aio		Aiton	India
aip		Burumakok	Indonesia
aiq		Aimaq	Afghanistan
air		Airoran	Indonesia
ait		Arikem	Brazil
aiw		Aari	Ethiopia
aix		Aighon	Papua New Guinea
aiy		Ali	Central African Republic
aja		Aja	South Sudan
ajg		Aja	Benin, Togo
aji		Ajië	New Caledonia
ajn		Andajin	Australia
ajs		Algerian Jewish Sign Language	Algeria
aju		Judeo-Moroccan Arabic	Morocco
ajw		Ajawa	Nigeria
ajz		Amri Karbi	India
aka	ak	Akan	Ghana
akb		Batak Angkola	Indonesia
akc		Mpur	Indonesia
akd		Ukpet-Ehom	Nigeria
ake		Akawaio	Brazil, Guyana, Venezuela
akf		Akweya	Nigeria
akg		Anakalangu	Indonesia
akh		Angal Heneng	Papua New Guinea
aki		Aiome	Papua New Guinea
akj		Aka-Jeru	India
akl		Aklanon	Philippines
akm		Aka-Bo	India
ako		Akurio	Suriname
akp		Siwu	Ghana
akq		Ak	Papua New Guinea
akr		Soro-n Raki	Vanuatu
aks		Akaselem	Togo
akt		Akolet	Papua New Guinea
aku		Akum	Cameroon, Nigeria
akv		Akhvakh	Russian Federation
akw		Akwa	Congo
akx		Aka-Kede	India
aky		Aka-Kol	India
akz		Alabama	United States
ala		Alago	Nigeria
alc		Qawasqar	Chile
ald		Alladian	Côte d’Ivoire
ale		Aleut	United States
alf		Elege	Nigeria
alh		Alawa	Australia
ali		Amaimon	Papua New Guinea
alj		Alangan	Philippines
alk		Alak	Laos
all		Allar	India
alm		Amblong	Vanuatu
aln		Gheg Albanian	Albania, Montenegro, North Macedonia, Serbia
alo		Larike-Wakasihu	Indonesia
alp		Alune	Indonesia
alq		Algonquin	Canada
alr		Alutor	Russian Federation
als		Tosk Albanian	Albania, Greece
alt		Southern Altai	Russian Federation
alu		’Are’are	Solomon Islands
alw		Alaba-K’abeena	Ethiopia
alx		Mol	Papua New Guinea
aly		Alyawarr	Australia
alz		Alur	Democratic Republic of the Congo, Uganda
ama		Amanayé	Brazil
amb		Ambo	Nigeria
amc		Amahuaca	Brazil, Peru
ame		Yanesha’	Peru
amf		Hamer-Banna	Ethiopia
amg		Amurdak	Australia
amh	am	Amharic	Ethiopia
ami		Amis	China–Taiwan
amj		Amdang	Chad
amk		Ambai	Indonesia
aml		War-Jaintia	Bangladesh, India
amm		Sawiyanu	Papua New Guinea
amn		Amanab	Papua New Guinea
amo		Amo	Nigeria
amp		Alamblak	Papua New Guinea
amq		Amahai	Indonesia
amr		Amarakaeri	Peru
ams		Southern Amami-Oshima	Japan
amt		Amto	Papua New Guinea
amu		Guerrero Amuzgo	Mexico
amv		Ambelau	Indonesia
amw		Western Neo-Aramaic	Syria
amx		Anmatyerr	Australia
amy		Ami	Australia
amz		Atampaya	Australia
ana		Andaqui	Colombia
anb		Andoa	Peru
anc		Ngas	Nigeria
and		Ansus	Indonesia
ane		Xârâcùù	New Caledonia
anf		Animere	Ghana
anh		Nend	Papua New Guinea
ani		Andi	Russian Federation
anj		Anor	Papua New Guinea
ank		Goemai	Nigeria
anl		Anu-Khongso Chin	Myanmar
anm		Anal	India
ann		Obolo	Nigeria
ano		Andoque	Colombia
anp		Angika	India
anq		Jarawa	India
anr		Andh	India
ans		Anserma	Colombia
ant		Antikarinya	Australia
anu		Anuak	Ethiopia, South Sudan
anv		Denya	Cameroon
anw		Anaang	Nigeria
anx		Andra-Hus	Papua New Guinea
any		Anyin	Côte d’Ivoire, Ghana
anz		Anem	Papua New Guinea
aoa		Angolar	São Tomé e Príncipe
aob		Abom	Papua New Guinea
aoc		Pemon	Brazil, Guyana, Venezuela
aod		Andarum	Papua New Guinea
aoe		Angal Enen	Papua New Guinea
aof		Bragat	Papua New Guinea
aog		Angoram	Papua New Guinea
aoi		Anindilyakwa	Australia
aoj		Mufian	Papua New Guinea
aok		Arhö	New Caledonia
aol		Alor	Indonesia
aom		Ömie	Papua New Guinea
aon		Weri	Papua New Guinea
aor		Aore	Vanuatu
aos		Taikat	Indonesia
aot		Atong	Bangladesh, India
aou		A’ou	China
aox		Atorada	Brazil, Guyana
aoz		Uab Meto	Indonesia
apb		Saꞌa	Solomon Islands
apc		Levantine Arabic	Israel, Jordan, Lebanon, Palestine, Syria, Turkey
apd		Sudanese Arabic	Sudan, South Sudan
ape		Bukiyip	Papua New Guinea
apf		Pahanan Agta	Philippines
apg		Ampanang	Indonesia
aph		Athpariya	Nepal
api		Apiaká	Brazil
apj		Jicarilla Apache	United States
apk		Kiowa Apache	United States
apl		Lipan Apache	United States
apm		Mescalero-Chiricahua Apache	United States
apn		Apinagé	Brazil
apo		Ambul	Papua New Guinea
app		Apma	Vanuatu
apq		A-Pucikwar	India
apr		Arop-Lokep	Papua New Guinea
aps		Orop	Papua New Guinea
apt		Apatani	India
apu		Apurinã	Brazil
apv		Alapmunte	Brazil
apw		Western Apache	United States
apx		Aputai	Indonesia
apy		Apalaí	Brazil
apz		Safeyoka	Papua New Guinea
aqc		Archi	Russian Federation
aqd		Ampari Dogon	Mali
aqg		Arigidi	Nigeria
aqk		Aninka	Nigeria
aqm		Atohwaim	Indonesia
aqn		Northern Alta	Philippines
aqp		Atakapa	United States
aqr		Arhâ	New Caledonia
aqt		Angaité	Paraguay
aqz		Akuntsu	Brazil
arb	ar	Standard Arabic	Saudi Arabia
ard		Arabana	Australia
are		Western Arrarnta	Australia
arg	an	Aragonese	Spain
arh		Arhuaco	Colombia
